,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,un
Iowa-Fayette,-0.2468876966468026,-0.24613615276607959,-0.24755427193470667,-0.458017579129021,0.8360999583711267,-0.529911583262455,-0.21008159297476972,-0.1629784067674944,-0.11258977713575608,-0.26293259692308807,-0.0930821381719154,-0.27067748159559846,0.08563534112612901,-0.4758625543152345,-0.5523009021267803,-0.6139812440776,0.0642930468244333,0.2898334922435567,-1.3490334360722323,-0.09821790573415996,0.5521159114220603,-0.4025091839460656,-0.6461885147020869,-0.21965752302081817,0.6328006624373574,-0.36674588623978777,1.1856198157208417,-0.5855347105494861,-0.23746931528738935,0.6080733038722391,-1.069365957117733,0.5794549357979807,-0.19361049736484062,-0.7311578515910472,-0.21420321708406187
Iowa-Floyd,-0.2611051330382856,-0.26132858481080556,-0.2608292590419035,-0.458017579129021,0.7924876925358855,-0.46687270668997227,-0.23766023534502304,-0.2769311723562318,-0.11258977713575608,-0.28151007377096526,-0.10323142525252732,0.18700459360125285,0.31212489965463064,0.37960965314135553,-0.6124216875350625,-0.5113708764366616,0.20563825217810403,-0.975571709404609,0.08883279705183948,-0.31168385055011516,0.5695514357174466,-0.06294098547406168,-0.33663840963619057,-0.0888763601442806,0.07362262715366348,0.3515035331370698,0.2731761390845956,-0.46052568978922437,-0.2511789044884859,0.7734263281619933,-1.023278354968374,0.04296960310370027,0.9051307813006274,-1.1218326269405121,-0.2204754064025038
Iowa-Franklin,-0.2785237635236429,-0.2786594474164489,-0.278328385168389,0.02539080503054078,0.4828406051056727,-0.5369159028816197,-0.23766023534502304,-0.3908839379449692,-0.11258977713575608,-0.30292049393868936,0.19179517935029863,-0.40151825707898076,0.23136243074162044,0.10429621443873356,-0.5042042738001544,-0.22064150145400221,-0.09275718134631218,-0.3153602998490444,-1.2552595513032707,0.37615086052351804,0.7264711543759205,-0.04988067014821617,-0.6117940585836542,-0.2523528137399526,0.7925658153755557,-0.5463082410840021,0.24171256402817343,-1.317730403573877,-0.2711286283454422,-0.15509450054201265,-0.762115276122007,1.5246909981640941,0.4656342698344403,-0.9509124127251211,-0.23054188308642298
Iowa-Fremont,-0.2891202797854598,-0.2896388520874273,-0.28855362998509504,-0.4424237602851643,0.8709897710393202,-0.5999547794541025,-0.16871362941938972,-0.46685244833746076,-0.11258977713575608,-0.3140913599382922,0.5574019406740213,-0.010559764598754701,0.8186232575881196,0.4100941861464901,-0.7807598866782528,-0.5626760602571307,0.5982638226049678,-0.5904483871638632,-0.7551321658688108,-0.45399448042741847,0.4823738142405165,0.4725319428856343,-1.1964998125970139,-0.285048104459087,0.15350520362276257,-0.007621176551358979,0.052931113689639604,0.21809470862362595,-0.2814776311098177,-0.04061932987987417,0.02137396041709385,0.11961036491716909,-0.633107008831028,-1.072998280021829,-0.23993726132474755
Iowa-Greene,-0.2826427167853305,-0.28352357902068465,-0.28172860187532733,-0.43722582067054533,0.8709897710393202,-0.5999547794541025,-0.23766023534502304,-0.3149154275524776,-0.11258977713575608,-0.3068261524571013,0.05954454540675245,0.046259536308371485,0.47332743241513,0.5720432677362677,-0.5883733733717498,-0.5199217404067396,0.44121359443422226,0.1797982573176296,-0.8801640122274264,-0.382839165488767,0.15109885262818254,0.04154153713270804,-1.1964998125970139,-0.31774339517822137,0.10025015264336322,0.3515035331370698,0.996838365382308,-0.8176943205328298,-0.27487003670441595,-0.14237503713510918,-0.33196432272799076,0.7582833800294078,0.4656342698344403,-0.6090719842943394,-0.23496424976636696
Iowa-Grundy,-0.2725160431008924,-0.2732208120794293,-0.2717738987134229,-0.5099969752752106,0.9538530761262782,-0.5789418205966083,-0.22387091415989635,-0.3149154275524776,-0.11258977713575608,-0.29513843277091717,0.8228329142478873,-0.11690047455337618,1.1436075636332863,0.09000658959257671,-1.3579194265977623,-1.5203728249058905,0.4883286628854466,-1.5257478840342467,0.43267037453803087,-0.050781029108392335,0.20340542551434007,0.2635668976720949,-0.8869497075311175,-0.285048104459087,0.31327035656096086,-0.36674588623978777,0.2731761390845956,-0.6212515736238465,-0.2634320168641248,0.3282451089203464,-0.6545775377735028,0.5283610945890017,-0.633107008831028,-1.0241639331031458,-0.2277714510417888
Iowa-Guthrie,-0.27773756027749563,-0.27818069430579573,-0.2772462185491826,-0.4632155187436401,0.9015183571239885,-0.5509245421199492,-0.22387091415989635,-0.42886819314121494,0.159586711135366,-0.3007653115852086,0.37835612049620326,-0.615242232968171,0.8002461688534227,0.6453966752798729,-0.732663258351627,-0.8021002514193206,0.20563825217810403,-0.7004836220897903,0.49518629771733813,0.5421799287137051,-0.45914449771032817,-0.3372076073168343,0.42003962496933345,-0.285048104459087,0.1801327291124623,-0.18718353139557337,0.5878118896488184,0.6109802024415917,-0.26912430243884916,-0.05333879328677945,-0.4548645951262812,0.7582833800294078,0.9051307813006274,-0.6579063312130223,-0.23218521389550723
Iowa-Hamilton,-0.26346374277672724,-0.26446282184188136,-0.2624402116227676,-0.29168351146121485,0.6660121216136862,-0.557928861739114,-0.23766023534502304,0.3688011659799468,-0.11258977713575608,-0.2853425926167478,0.2853855518188422,0.30689853129518885,0.3255047098737521,0.7568557490798963,-0.732663258351627,-0.5968795161374436,-0.15557727261461016,-0.8380276657471997,-0.16123089566539053,-0.09821790573415996,0.8659553487390086,0.2505065823462475,-0.4398217779914896,-0.31774339517822137,0.579545611457958,-0.3068917679583829,-0.41902251215669456,-1.0319954989789928,-0.25466643156595786,0.11201423100297474,-0.23978911842927303,0.19625112673063747,-0.19361049736484062,-1.0485811065624875,-0.22019148013705994
Iowa-Hancock,-0.27663499636258004,-0.27654016697995765,-0.27666209452177004,-0.3800484849097369,0.8186550520370306,-0.5649331813582787,-0.22387091415989635,-0.35289968274872335,-0.11258977713575608,-0.2998193718192012,0.5308278531270755,0.375185947981735,0.46172085005637403,-0.12624306641259694,-1.081363813719664,-0.9902192587610413,-0.014232067260939436,-1.305677414182392,-0.817648089048118,-0.8097710551206769,1.8946512821667836,0.06766216778440094,-0.6461885147020869,-0.1542669415825494,-0.1393975767639343,0.11208706001145056,0.6822026148180852,-0.5855347105494861,-0.26693290611430737,0.37912296254796396,-0.91574061661987,0.6560956976114495,0.9051307813006274,-1.6101760961273432,-0.23082580935186686
Iowa-Hardin,-0.2568984758288206,-0.2570453403141622,-0.2566973501322063,-0.369652605680499,0.7663203330347409,-0.5439202225007845,-0.21008159297476972,-0.08700989637500284,-0.11258977713575608,-0.27607335810551037,0.3788209733395901,-0.615242232968171,0.3666113557276794,-0.016689275925394428,-1.0452913424746946,-1.1099313543421363,-0.24980740951705768,-0.12279863872867144,-0.9739378969963867,0.020374285830259534,0.8833908730343949,0.23744626702040197,-0.40542732187305675,-0.2523528137399526,0.1801327291124623,-0.18718353139557337,-0.07292318653604933,-1.0677123620533533,-0.2492079840136694,0.3536840357341552,-0.5931274015743578,0.24734496793961683,0.026137758368252956,-0.7799921985097301,-0.2185137340230734
