,Men_log,Women_log,Hispanic_scale,White_scale,Black_scale,Native_scale,Asian_scale,Pacific_scale,Construction_log,Production_log,Drive_boxcox,Carpool_boxcox,Walk_boxcox,OtherTransp_boxcox,Income_log,IncomeErr_log,IncomePerCap_log,IncomePerCapErr_log,Poverty_log,ChildPoverty_log,TotalPop_log,MeanCommute_scale
Louisiana-Winn,8.968396191198256,8.854236693405742,-0.5411846129629242,-0.4417394306014421,1.6764490967744403,-0.1411349870491364,-0.46685244833746076,-0.11258977713575608,2.803360380906535,2.833213344056216,15352002275.171652,6.281248844026119,0.5641603756139424,0.3103780168858844,10.344545004347415,8.352082671352637,9.791270249415089,7.072421900537371,3.2733640101522705,3.55820113047182,9.606091787896707,0.6288386339787723
Maine-Androscoggin,10.870414362878757,10.91137247757128,-0.48400727720211584,0.7009019342818791,-0.5159029440241255,-0.22387091415989635,-0.1629784067674944,-0.11258977713575608,2.312535423847214,2.653241964607215,12103010809.430443,5.369545669017561,1.187527539804514,0.83100828002934,10.769263634169105,7.4318919168078,10.127071007078722,6.598509028614515,2.7536607123542622,3.1570004211501135,11.584250282024042,0.07522725632618368
Maine-Aroostook,10.451377720438934,10.47483426334725,-0.5151949148898295,0.8360999583711267,-0.557928861739114,-0.030820417568123145,-0.2769311723562318,-0.11258977713575608,2.5416019934645457,2.6878474937846906,14096313977.051579,4.904812296739002,1.0840749761967607,0.7876883935959887,10.516589942087034,6.794586580876499,9.987966559114067,6.267200548541362,2.917770732084279,3.246490991901174,11.156321947052026,-1.0141370674418122
Maine-Cumberland,11.842488171385737,11.898752332270014,-0.47361139797287793,0.6834570279477823,-0.42484678897498385,-0.21008159297476972,0.3308169107837009,-0.11258977713575608,2.0412203288596382,2.0794415416798357,12372595577.62963,4.136473519545377,1.267995442989618,0.7876883935959887,11.002949480158815,7.0909098220799835,10.436495323235768,6.6052979209482015,2.451005098112319,2.7013612129514133,12.564163087179166,-0.1390739221199794
Maine-Franklin,9.611596635310292,9.64633468511917,-0.5099969752752106,0.9015183571239885,-0.5789418205966083,-0.18250295060451638,-0.2769311723562318,0.023498466999804964,2.4849066497880004,2.617395832834079,9371565324.657526,5.115402122535601,1.3978982058027787,0.622799085152153,10.664550357894438,7.602401335665818,10.042379551402746,6.8966943316227125,2.6946271807700692,2.928523523860541,10.322263674703965,-0.014064901359717654
Maine-Hancock,10.19226902043121,10.23860172454777,-0.5047990356605916,0.8709897710393202,-0.5719375009774434,-0.18250295060451638,-0.12499415157124862,-0.11258977713575608,2.740840023925201,2.2407096892759584,7055528502.798208,5.294304853556689,1.352095600527879,0.8882713986982212,10.758540974939093,7.419979923661835,10.255270550394432,6.93537044601511,2.6026896854443837,2.89591193827178,10.908850868984608,-0.17479078519433983
Maine-Kennebec,10.981199611763149,11.040567065427815,-0.49960109604597264,0.8579060912887473,-0.5509245421199492,-0.1549243082342631,-0.1629784067674944,-0.11258977713575608,2.33214389523559,2.3513752571634776,15136540925.181164,4.4325833066344655,1.1773501549007173,0.7876883935959887,10.756135362104326,7.3752557780097545,10.16419660173648,6.408528791059498,2.624668592163159,2.954910279033736,11.704471016291714,0.039510393251823275
Maine-Knox,9.88745979145893,9.905535454153428,-0.5099969752752106,0.8927959039569409,-0.5649331813582787,-0.19629227178964304,-0.20096266196374024,-0.11258977713575608,2.7212954278522306,2.272125885509337,11072655772.021122,4.714697286478677,1.283589060217764,0.7876883935959887,10.833543112985996,7.586803535162581,10.245089466977339,6.8658910748834385,2.4159137783010487,2.6878474937846906,10.589685644007867,-1.0319954989789928
Maine-Lincoln,9.721545923560459,9.76898425919765,-0.5255907941190674,0.9146020368745614,-0.5999547794541025,-0.16871362941938972,-0.011041385982511266,-0.11258977713575608,2.72785282839839,2.4595888418037104,12739735426.109652,4.769603036973108,1.0840749761967607,0.8099233562582846,10.828975856764325,7.80954132465341,10.27773715349137,7.05617528410041,2.4932054526026954,2.917770732084279,10.438693545027498,0.2895284347723468
Maine-Oxford,10.255762832130173,10.274188668207952,-0.5151949148898295,0.8884346773734163,-0.5789418205966083,-0.16871362941938972,-0.238946917159986,-0.11258977713575608,2.7212954278522306,2.8094026953624978,16013633265.695467,4.403634909389865,0.995851641462913,0.5112199906124424,10.612261988981773,7.416378479192928,9.96552294345558,6.3561076606958915,2.8622008809294686,3.2228678461377385,10.958165369058063,0.8252813808877548
Maine-Penobscot,11.234718362880965,11.260906502849345,-0.5099969752752106,0.8186550520370306,-0.5509245421199492,-0.08597770230862976,-0.04902564117875701,-0.11258977713575608,2.2617630984737906,2.312535423847214,14923582045.251694,4.4325833066344655,1.1668814266889176,0.8099233562582846,10.69808511413156,7.040536390215956,10.091998250355894,6.135564891081739,2.833213344056216,3.0106208860477417,11.941045338309863,-0.17479078519433983
Maine-Piscataquis,9.053920452704881,9.05998249038762,-0.5099969752752106,0.8840734507898924,-0.585946140215773,-0.19629227178964304,-0.2769311723562318,-0.11258977713575608,2.5572273113676265,3.005682604407159,15569989229.095577,3.824127721433905,1.207061745907019,0.5513116879186498,10.531962869735489,7.656810091480378,10.036968943910608,7.231287004327616,3.039749158970765,3.5115454388310208,9.75010324563677,0.20023627708644542
Maine-Sagadahoc,9.734713808287442,9.809066976916636,-0.49440315643135374,0.844822411538175,-0.557928861739114,-0.21008159297476972,-0.20096266196374024,-0.11258977713575608,2.341805806147327,2.3608540011180215,15243957349.203943,4.575269859980675,1.056753740431538,0.6548608232528105,10.883654085997756,8.005700678662542,10.311017194693171,7.23561914106675,2.4932054526026954,2.990719731730447,10.465728463248274,0.11094411940054409
Maine-Somerset,10.142465082152865,10.172674642351664,-0.5203928545044484,0.9015183571239885,-0.585946140215773,-0.18250295060451638,-0.35289968274872335,-0.11258977713575608,2.6878474937846906,2.8094026953624978,15460678599.682755,4.851073588086901,0.9616916936713608,0.851039322370432,10.598283373341598,7.479299637782834,9.986403052863436,6.416732282512326,2.8678989020441064,3.202746442938317,10.850831115665532,0.3788205924582481
Maine-Waldo,9.860319057134749,9.894497260697996,-0.5151949148898295,0.9015183571239885,-0.5789418205966083,-0.21008159297476972,-0.238946917159986,-0.11258977713575608,2.4932054526026954,2.4932054526026954,10665282862.958393,4.575269859980675,1.1561068090712134,0.83100828002934,10.693806814848333,7.396335293800808,10.105325748023002,6.68586094706836,2.797281334830153,3.054001181677967,10.57070135106957,0.5395464762928709
